feature,coefficient_in_INR,absolute_coefficient
Intercept,259555.0773918996,259555.0773918996
Average_Bill_Value,57808.087262234236,57808.087262234236
Average_Daily_Customers,38338.80505753243,38338.80505753243
Promotion_Spend,14268.349545835996,14268.349545835996
Delivery_Order_Percentage,5650.069869364062,5650.069869364062
Seating_Capacity,4403.381811434276,4403.381811434276
Customer_Rating,2174.426661790571,2174.426661790571
Employee_Count,2104.2157160804622,2104.2157160804622
Cuisine_Type=North Indian,-1408.126695913143,1408.126695913143
Cuisine_Type=Italian,-1137.9088017388149,1137.9088017388149
Cuisine_Type=South Indian,-856.8114420905667,856.8114420905667
Location_Type=Food Court,-463.2008444066598,463.2008444066598
Location_Type=Standalone,445.44107509775836,445.44107509775836
Location_Type=High Street,315.43730408596394,315.43730408596394
Cuisine_Type=Continental,-92.3557442726563,92.3557442726563
Cuisine_Type=Fast Food,-19.432061128418677,19.432061128418677
Location_Type=Mall,-9.320235955514512,9.320235955514512
