Outlet_ID,Cuisine_Type,Location_Type,Average_Daily_Customers,Average_Bill_Value,Delivery_Order_Percentage,Seating_Capacity,Employee_Count,Promotion_Spend,Customer_Rating,Monthly_Revenue
1,Chinese,High Street,362.3,1042.82,9.5,134.9,15,53782.83,3.61,324584.4
2,North Indian,Food Court,401.1,288.92,72.15,21.1,18,89237.04,1.78,240251.51
3,Continental,Food Court,273.2,587.58,99.94,120.8,36,38066.3,3.61,243306.62
4,Continental,High Street,375.9,436.57,12.47,17.7,9,23291.31,4.7,206589.02
5,Italian,Airport,398.0,648.68,54.59,57.4,37,21761.4,3.64,259066.32
6,Fast Food,Standalone,481.8,473.0,95.44,139.3,7,30664.83,2.57,269374.01
7,Continental,Airport,153.6,733.49,7.24,66.3,24,24181.44,3.88,188878.03
8,Chinese,Mall,226.8,430.08,91.71,81.0,31,20349.51,2.36,191384.4
9,Continental,Airport,218.3,699.21,33.72,87.5,7,94490.87,1.35,243486.33
10,Continental,Standalone,276.6,1280.56,60.42,97.6,25,76896.78,1.65,300119.66
11,Chinese,Airport,489.9,1402.36,64.71,119.2,36,43340.82,3.59,428414.9
12,North Indian,Mall,250.9,1472.01,66.38,52.2,7,36816.8,3.43,344871.83
13,Continental,High Street,127.1,620.98,11.84,80.4,33,6963.63,1.3,155880.65
14,Continental,Food Court,227.4,223.86,49.3,41.1,29,40668.02,1.11,143636.09
15,South Indian,Mall,172.0,256.62,28.41,26.6,21,81325.32,1.15,152192.59
16,South Indian,Mall,284.4,645.45,24.26,78.1,22,16695.4,2.25,219946.9
17,North Indian,Airport,248.1,1080.48,99.93,120.0,20,63573.88,2.13,300902.27
18,North Indian,High Street,139.8,638.39,11.6,66.9,21,49545.17,4.8,189402.5
19,Fast Food,Food Court,394.5,725.84,75.29,119.9,24,39933.08,2.38,274300.55
20,Chinese,Airport,382.2,486.99,60.82,13.5,34,99448.35,3.67,253600.95
21,Chinese,Airport,441.2,319.35,49.92,16.4,30,85230.45,2.43,240327.12
22,North Indian,High Street,317.4,1185.05,17.52,61.2,24,92152.69,1.06,346321.74
23,Fast Food,Airport,247.4,1125.97,22.39,44.5,14,89657.88,4.9,320768.79
24,Chinese,Airport,327.7,1284.85,48.25,64.0,11,24512.6,2.96,334295.94
25,Continental,High Street,349.8,1224.55,21.9,40.2,36,74872.36,2.22,357767.44
26,South Indian,Mall,267.6,1082.78,71.73,123.2,9,94249.99,3.22,332849.32
27,Fast Food,Food Court,307.7,801.68,59.41,77.1,40,91360.8,4.64,290635.47
28,North Indian,High Street,334.5,610.28,26.1,99.1,4,6370.31,1.17,217262.85
29,North Indian,High Street,126.3,666.02,62.36,55.3,16,97902.94,4.34,224709.34
30,Continental,Mall,311.7,819.18,91.03,90.7,23,14429.74,2.35,267424.51
31,North Indian,High Street,356.4,243.39,19.2,142.2,19,71635.98,3.12,218735.01
32,South Indian,Food Court,267.6,1018.83,64.28,141.9,8,49247.06,2.7,299088.26
33,Italian,Food Court,207.7,802.98,86.35,45.8,36,26352.14,2.06,233443.16
34,North Indian,Mall,412.5,631.44,42.23,93.8,9,26549.66,2.74,270782.66
35,South Indian,High Street,368.1,800.43,56.91,29.7,17,49247.06,2.25,277856.16
36,North Indian,Standalone,485.7,220.75,15.88,64.4,4,63451.9,4.89,221541.7
37,Continental,High Street,343.4,456.88,37.54,45.8,29,50230.19,3.2,221096.14
38,Chinese,Standalone,306.8,742.22,51.86,75.3,16,19455.62,2.32,233938.78
39,Chinese,Standalone,215.1,835.75,72.69,55.5,35,28989.55,3.25,232654.59
40,Chinese,Airport,156.7,744.51,32.51,133.6,9,38592.14,3.69,206311.1
41,South Indian,Mall,356.2,1343.04,49.92,45.1,28,48081.28,3.52,351613.33
42,Italian,Mall,264.3,1352.13,47.75,16.7,27,72282.03,2.55,337126.11
